epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,123.09199523925781,123.09199523925781,15199.517578125,121.0774917602539,121.0774917602539,14706.5263671875
1,119.25988006591797,119.25988006591797,14270.1962890625,117.25969696044922,117.25969696044922,13797.0029296875
2,115.44414520263672,115.44414520263672,13375.4736328125,113.4947280883789,113.4947280883789,12928.6884765625
3,111.64104461669922,111.64104461669922,12513.2529296875,109.72209930419922,109.72209930419922,12087.8466796875
4,107.85186767578125,107.85186767578125,11680.505859375,105.88190460205078,105.88190460205078,11259.369140625
5,104.0434799194336,104.0434799194336,10872.4072265625,102.08451843261719,102.08451843261719,10467.552734375
6,100.24491882324219,100.24491882324219,10096.978515625,98.33365631103516,98.33365631103516,9718.705078125
7,96.47315979003906,96.47315979003906,9354.18359375,94.53180694580078,94.53180694580078,8982.169921875
8,92.64030456542969,92.64030456542969,8629.7705078125,90.65978240966797,90.65978240966797,8266.2763671875
9,88.83968353271484,88.83968353271484,7940.61962890625,86.82977294921875,86.82977294921875,7584.39599609375
10,85.04273223876953,85.04273223876953,7280.14208984375,83.13092803955078,83.13092803955078,6959.60302734375
11,81.24958038330078,81.24958038330078,6649.7666015625,79.22290802001953,79.22290802001953,6322.919921875
12,77.44329833984375,77.44329833984375,6045.85546875,75.47311401367188,75.47311401367188,5743.517578125
13,73.64600372314453,73.64600372314453,5472.359375,71.66116333007812,71.66116333007812,5182.45166015625
14,69.83653259277344,69.83653259277344,4924.99658203125,67.87035369873047,67.87035369873047,4652.9501953125
15,66.04132080078125,66.04132080078125,4410.107421875,64.1081314086914,64.1081314086914,4158.6337890625
16,62.2410774230957,62.2410774230957,3921.239501953125,60.306861877441406,60.306861877441406,3683.75048828125
17,58.4351806640625,58.4351806640625,3463.471435546875,56.43118667602539,56.43118667602539,3233.452392578125
18,54.65877914428711,54.65877914428711,3035.696533203125,52.59895324707031,52.59895324707031,2812.7548828125
19,50.86063766479492,50.86063766479492,2634.88134765625,48.86957931518555,48.86957931518555,2434.5322265625
20,47.041954040527344,47.041954040527344,2260.41845703125,45.04780960083008,45.04780960083008,2074.727783203125
21,43.2405891418457,43.2405891418457,1916.958984375,41.22610092163086,41.22610092163086,1746.01904296875
22,39.437294006347656,39.437294006347656,1603.748291015625,37.4871940612793,37.4871940612793,1453.155517578125
23,35.63311004638672,35.63311004638672,1317.6885986328125,33.658226013183594,33.658226013183594,1179.53369140625
24,31.85284996032715,31.85284996032715,1062.0399169921875,29.90835189819336,29.90835189819336,940.3931884765625
25,28.045398712158203,28.045398712158203,834.0520629882812,26.066320419311523,26.066320419311523,726.20703125
26,24.245323181152344,24.245323181152344,635.4204711914062,22.271696090698242,22.271696090698242,541.0161743164062
27,20.440237045288086,20.440237045288086,465.1609191894531,18.535734176635742,18.535734176635742,388.3018798828125
28,16.701284408569336,16.701284408569336,324.3274230957031,14.808232307434082,14.808232307434082,256.5394287109375
29,12.988601684570312,12.988601684570312,206.63003540039062,11.095532417297363,11.095532417297363,151.02281188964844
30,9.454291343688965,9.454291343688965,118.53263854980469,7.56464958190918,7.56464958190918,78.39212036132812
31,6.5041375160217285,6.5041375160217285,62.39297866821289,5.054599761962891,5.054599761962891,40.22829055786133
32,4.681917667388916,4.681917667388916,36.92294692993164,3.9495925903320312,3.9495925903320312,26.17369270324707
33,3.96866512298584,3.96866512298584,27.02407455444336,3.622305154800415,3.622305154800415,22.87119483947754
34,3.7697794437408447,3.7697794437408447,25.0964298248291,3.56599497795105,3.56599497795105,22.49226951599121
35,3.7445297241210938,3.7445297241210938,24.938783645629883,3.5229580402374268,3.5229580402374268,21.8972225189209
36,3.7220754623413086,3.7220754623413086,24.987611770629883,3.5174167156219482,3.5174167156219482,21.75794792175293
37,3.7169013023376465,3.7169013023376465,24.751596450805664,3.533181667327881,3.533181667327881,21.95383071899414
38,3.7339024543762207,3.7339024543762207,24.809579849243164,3.5008175373077393,3.5008175373077393,21.47346305847168
39,3.7312324047088623,3.7312324047088623,25.106243133544922,3.5189411640167236,3.5189411640167236,21.872661590576172
40,3.722919464111328,3.722919464111328,24.541791915893555,3.5290098190307617,3.5290098190307617,21.6729793548584
41,3.727238893508911,3.727238893508911,24.415550231933594,3.5134241580963135,3.5134236812591553,21.701356887817383
